
Data Rainfall for Station 1
Station ID	Station		District	Day	Rainfall
2222005		Klebang		Melaka Tengah	1	1
2222005		Klebang		Melaka Tengah	2	7
2222005		Klebang		Melaka Tengah	3	1
2222005		Klebang		Melaka Tengah	4	4
2222005		Klebang		Melaka Tengah	5	2
2222005		Klebang		Melaka Tengah	6	6

Total Rainfall Station 1   : 21.0
Average Rainfall Station 1 : 3.5

Data Rainfall for Station 2
Station ID	Station		District	Day	Rainfall
2221008		Sg.Udang	Melaka Tengah	1	0
2221008		Sg.Udang	Melaka Tengah	2	35
2221008		Sg.Udang	Melaka Tengah	3	2
2221008		Sg.Udang	Melaka Tengah	4	0
2221008		Sg.Udang	Melaka Tengah	5	1
2221008		Sg.Udang	Melaka Tengah	6	12

Total Rainfall Station 2   : 50.0
Average Rainfall Station 2 : 8.33

Total Rainfall For 2 Stations        : 71.0
Average Total Rainfal for 2 Stations : 11.83
